Time,Seed,Demand,Alpha,Scenario,ComputationTime
0,0,demand_1.5x,1.0,S1,0.0500619999365881
0,0,demand_1.5x,0.09999999999999998,S2,0.0473545999266207
1,0,demand_1.5x,1.0,S1,0.07417539996095
1,0,demand_1.5x,0.09999999999999998,S2,0.0964025999419391
1,0,demand_1.5x,1.0,S1,0.0991915999911725
1,0,demand_1.5x,0.09999999999999998,S2,0.0973982000723481
2,0,demand_1.5x,1.0,S1,0.099361200002022
2,0,demand_1.5x,0.09999999999999998,S2,0.1028890999732539
3,0,demand_1.5x,1.0,S1,0.1136362000834196
3,0,demand_1.5x,0.09999999999999998,S2,0.1671142000705003
3,0,demand_1.5x,1.0,S1,0.1687591000227257
3,0,demand_1.5x,0.09999999999999998,S2,0.1745804999954998
4,0,demand_1.5x,1.0,S1,0.256369800074026
4,0,demand_1.5x,0.09999999999999998,S2,0.2710346999811008
5,0,demand_1.5x,1.0,S1,0.2627315999707207
5,0,demand_1.5x,0.09999999999999998,S2,0.2618635999970138
5,0,demand_1.5x,1.0,S1,0.2544451999710873
5,0,demand_1.5x,0.09999999999999998,S2,0.4672855000244453
6,0,demand_1.5x,1.0,S1,0.3660876000067219
6,0,demand_1.5x,0.09999999999999998,S2,0.5527090000687167
7,0,demand_1.5x,1.0,S1,0.4139070999808609
7,0,demand_1.5x,0.09999999999999998,S2,0.5404642000794411
7,0,demand_1.5x,1.0,S1,0.3689931000117212
7,0,demand_1.5x,0.09999999999999998,S2,0.6533185999142006
8,0,demand_1.5x,1.0,S1,0.7035852000117302
8,0,demand_1.5x,0.09999999999999998,S2,0.9370911999139936
9,0,demand_1.5x,1.0,S1,0.9974668000359088
9,0,demand_1.5x,0.09999999999999998,S2,0.971941800089553
9,0,demand_1.5x,1.0,S1,0.8279315999243408
9,0,demand_1.5x,0.09999999999999998,S2,1.007127900025807
10,0,demand_1.5x,1.0,S1,0.5690573999891058
10,0,demand_1.5x,0.09999999999999998,S2,0.8166811000555754
11,0,demand_1.5x,1.0,S1,0.9530390000436456
