Time,Seed,Scenario,VehicleID,Occupancy
0,0,S1,0,0
0,0,S1,1,0
0,0,S1,2,0
0,0,S1,3,0
0,0,S1,4,0
0,0,S1,5,0
0,0,S1,6,0
0,0,S1,7,0
0,0,S1,8,0
0,0,S1,9,0
0,0,S2,0,0
0,0,S2,1,0
0,0,S2,2,0
0,0,S2,3,0
0,0,S2,4,0
0,0,S2,5,0
0,0,S2,6,0
0,0,S2,7,0
0,0,S2,8,0
0,0,S2,9,0
1,0,S1,0,0
1,0,S1,1,0
1,0,S1,2,0
1,0,S1,3,0
1,0,S1,4,0
1,0,S1,5,0
1,0,S1,6,0
1,0,S1,7,0
1,0,S1,8,0
1,0,S1,9,0
1,0,S2,0,0
1,0,S2,1,0
1,0,S2,2,0
1,0,S2,3,0
1,0,S2,4,0
1,0,S2,5,0
1,0,S2,6,0
1,0,S2,7,0
1,0,S2,8,0
1,0,S2,9,0
2,0,S1,0,0
2,0,S1,1,0
2,0,S1,2,0
2,0,S1,3,0
2,0,S1,4,0
2,0,S1,5,0
2,0,S1,6,0
2,0,S1,7,0
2,0,S1,8,0
2,0,S1,9,0
2,0,S2,0,0
2,0,S2,1,0
2,0,S2,2,0
2,0,S2,3,0
2,0,S2,4,0
2,0,S2,5,0
2,0,S2,6,0
2,0,S2,7,0
2,0,S2,8,0
2,0,S2,9,0
3,0,S1,0,0
3,0,S1,1,0
3,0,S1,2,0
3,0,S1,3,0
3,0,S1,4,0
3,0,S1,5,0
3,0,S1,6,0
3,0,S1,7,0
3,0,S1,8,0
3,0,S1,9,0
3,0,S2,0,0
3,0,S2,1,0
3,0,S2,2,0
3,0,S2,3,0
3,0,S2,4,0
3,0,S2,5,0
3,0,S2,6,0
3,0,S2,7,0
3,0,S2,8,0
3,0,S2,9,0
4,0,S1,0,0
4,0,S1,1,0
4,0,S1,2,0
4,0,S1,3,0
4,0,S1,4,0
4,0,S1,5,0
4,0,S1,6,0
4,0,S1,7,0
4,0,S1,8,0
4,0,S1,9,0
4,0,S2,0,0
4,0,S2,1,0
4,0,S2,2,0
4,0,S2,3,0
4,0,S2,4,0
4,0,S2,5,0
4,0,S2,6,0
4,0,S2,7,0
4,0,S2,8,0
4,0,S2,9,0
5,0,S1,0,0
5,0,S1,1,0
5,0,S1,2,0
5,0,S1,3,0
5,0,S1,4,0
5,0,S1,5,0
5,0,S1,6,0
5,0,S1,7,0
5,0,S1,8,0
5,0,S1,9,0
5,0,S2,0,0
5,0,S2,1,0
5,0,S2,2,0
5,0,S2,3,0
5,0,S2,4,0
5,0,S2,5,0
5,0,S2,6,0
5,0,S2,7,0
5,0,S2,8,0
5,0,S2,9,0
6,0,S1,0,1
6,0,S1,1,0
6,0,S1,2,0
6,0,S1,3,0
6,0,S1,4,0
6,0,S1,5,0
6,0,S1,6,0
6,0,S1,7,0
6,0,S1,8,0
6,0,S1,9,0
6,0,S2,0,1
6,0,S2,1,0
6,0,S2,2,0
6,0,S2,3,0
6,0,S2,4,0
6,0,S2,5,0
6,0,S2,6,0
6,0,S2,7,0
6,0,S2,8,0
6,0,S2,9,0
7,0,S1,0,1
7,0,S1,1,0
7,0,S1,2,0
7,0,S1,3,0
7,0,S1,4,0
7,0,S1,5,0
7,0,S1,6,0
7,0,S1,7,0
7,0,S1,8,0
7,0,S1,9,0
7,0,S2,0,1
7,0,S2,1,0
7,0,S2,2,0
7,0,S2,3,0
7,0,S2,4,0
7,0,S2,5,0
7,0,S2,6,0
7,0,S2,7,0
7,0,S2,8,0
7,0,S2,9,0
8,0,S1,0,1
8,0,S1,1,0
8,0,S1,2,0
8,0,S1,3,0
8,0,S1,4,0
8,0,S1,5,0
8,0,S1,6,0
8,0,S1,7,0
8,0,S1,8,0
8,0,S1,9,0
8,0,S2,0,1
8,0,S2,1,0
8,0,S2,2,0
8,0,S2,3,0
8,0,S2,4,0
8,0,S2,5,0
8,0,S2,6,0
8,0,S2,7,0
8,0,S2,8,0
8,0,S2,9,0
9,0,S1,0,2
9,0,S1,1,1
9,0,S1,2,0
9,0,S1,3,0
9,0,S1,4,0
9,0,S1,5,0
9,0,S1,6,1
9,0,S1,7,0
9,0,S1,8,0
9,0,S1,9,0
9,0,S2,0,2
9,0,S2,1,1
9,0,S2,2,0
9,0,S2,3,0
9,0,S2,4,0
9,0,S2,5,0
9,0,S2,6,0
9,0,S2,7,0
9,0,S2,8,0
9,0,S2,9,0
10,0,S1,0,2
10,0,S1,1,1
10,0,S1,2,0
10,0,S1,3,0
10,0,S1,4,0
10,0,S1,5,0
10,0,S1,6,1
10,0,S1,7,0
10,0,S1,8,0
10,0,S1,9,0
10,0,S2,0,2
10,0,S2,1,1
10,0,S2,2,0
10,0,S2,3,0
10,0,S2,4,0
10,0,S2,5,0
10,0,S2,6,0
10,0,S2,7,0
10,0,S2,8,0
10,0,S2,9,0
11,0,S1,0,2
11,0,S1,1,1
11,0,S1,2,1
11,0,S1,3,0
11,0,S1,4,0
11,0,S1,5,0
11,0,S1,6,1
11,0,S1,7,0
11,0,S1,8,0
11,0,S1,9,0
11,0,S2,0,2
11,0,S2,1,1
11,0,S2,2,0
11,0,S2,3,0
11,0,S2,4,0
11,0,S2,5,1
11,0,S2,6,0
11,0,S2,7,0
11,0,S2,8,0
11,0,S2,9,0
12,0,S1,0,2
12,0,S1,1,1
12,0,S1,2,1
12,0,S1,3,0
12,0,S1,4,0
12,0,S1,5,0
12,0,S1,6,1
12,0,S1,7,1
12,0,S1,8,0
12,0,S1,9,0
12,0,S2,0,2
12,0,S2,1,1
12,0,S2,2,0
12,0,S2,3,0
12,0,S2,4,0
12,0,S2,5,1
12,0,S2,6,1
12,0,S2,7,0
12,0,S2,8,1
12,0,S2,9,0
13,0,S1,0,2
13,0,S1,1,1
13,0,S1,2,1
13,0,S1,3,0
13,0,S1,4,0
13,0,S1,5,0
13,0,S1,6,1
13,0,S1,7,1
13,0,S1,8,0
13,0,S1,9,0
13,0,S2,0,2
13,0,S2,1,1
13,0,S2,2,0
13,0,S2,3,0
13,0,S2,4,0
13,0,S2,5,1
13,0,S2,6,1
13,0,S2,7,2
13,0,S2,8,1
13,0,S2,9,0
14,0,S1,0,2
14,0,S1,1,1
14,0,S1,2,1
14,0,S1,3,0
14,0,S1,4,0
14,0,S1,5,0
14,0,S1,6,1
14,0,S1,7,1
14,0,S1,8,0
14,0,S1,9,0
14,0,S2,0,2
14,0,S2,1,1
14,0,S2,2,1
14,0,S2,3,0
14,0,S2,4,0
14,0,S2,5,1
14,0,S2,6,1
14,0,S2,7,2
14,0,S2,8,1
14,0,S2,9,0
15,0,S1,0,3
15,0,S1,1,1
15,0,S1,2,1
15,0,S1,3,0
15,0,S1,4,0
15,0,S1,5,0
15,0,S1,6,1
15,0,S1,7,1
15,0,S1,8,1
15,0,S1,9,0
15,0,S2,0,2
15,0,S2,1,1
15,0,S2,2,1
15,0,S2,3,0
15,0,S2,4,0
15,0,S2,5,1
15,0,S2,6,1
15,0,S2,7,2
15,0,S2,8,1
15,0,S2,9,0
16,0,S1,0,3
16,0,S1,1,1
16,0,S1,2,0
16,0,S1,3,0
16,0,S1,4,0
16,0,S1,5,0
16,0,S1,6,1
16,0,S1,7,1
16,0,S1,8,1
16,0,S1,9,0
16,0,S2,0,2
16,0,S2,1,1
16,0,S2,2,1
16,0,S2,3,1
16,0,S2,4,0
16,0,S2,5,1
16,0,S2,6,1
16,0,S2,7,2
16,0,S2,8,1
16,0,S2,9,0
17,0,S1,0,3
17,0,S1,1,1
17,0,S1,2,0
17,0,S1,3,0
17,0,S1,4,0
17,0,S1,5,0
17,0,S1,6,1
17,0,S1,7,2
17,0,S1,8,1
17,0,S1,9,1
17,0,S2,0,2
17,0,S2,1,1
17,0,S2,2,1
17,0,S2,3,1
17,0,S2,4,1
17,0,S2,5,1
17,0,S2,6,1
17,0,S2,7,2
17,0,S2,8,2
17,0,S2,9,1
18,0,S1,0,3
18,0,S1,1,1
18,0,S1,2,0
18,0,S1,3,0
18,0,S1,4,1
18,0,S1,5,1
18,0,S1,6,1
18,0,S1,7,2
18,0,S1,8,1
18,0,S1,9,1
18,0,S2,0,2
18,0,S2,1,1
18,0,S2,2,1
18,0,S2,3,1
18,0,S2,4,1
18,0,S2,5,2
18,0,S2,6,1
18,0,S2,7,3
18,0,S2,8,2
18,0,S2,9,1
19,0,S1,0,3
19,0,S1,1,1
19,0,S1,2,0
19,0,S1,3,0
19,0,S1,4,1
19,0,S1,5,1
19,0,S1,6,1
19,0,S1,7,1
19,0,S1,8,1
19,0,S1,9,1
19,0,S2,0,2
19,0,S2,1,1
19,0,S2,2,2
19,0,S2,3,1
19,0,S2,4,1
19,0,S2,5,2
19,0,S2,6,0
19,0,S2,7,3
19,0,S2,8,1
19,0,S2,9,1
20,0,S1,0,3
20,0,S1,1,2
20,0,S1,2,0
20,0,S1,3,0
20,0,S1,4,1
20,0,S1,5,1
20,0,S1,6,1
20,0,S1,7,1
20,0,S1,8,1
20,0,S1,9,1
20,0,S2,0,1
20,0,S2,1,0
20,0,S2,2,2
20,0,S2,3,1
20,0,S2,4,1
20,0,S2,5,2
20,0,S2,6,0
20,0,S2,7,3
20,0,S2,8,1
20,0,S2,9,1
21,0,S1,0,3
21,0,S1,1,2
21,0,S1,2,0
21,0,S1,3,0
21,0,S1,4,2
21,0,S1,5,1
21,0,S1,6,1
21,0,S1,7,1
21,0,S1,8,1
21,0,S1,9,1
21,0,S2,0,1
21,0,S2,1,0
21,0,S2,2,2
21,0,S2,3,1
21,0,S2,4,1
21,0,S2,5,2
21,0,S2,6,0
21,0,S2,7,3
21,0,S2,8,1
21,0,S2,9,1
22,0,S1,0,3
22,0,S1,1,2
22,0,S1,2,0
22,0,S1,3,0
22,0,S1,4,2
22,0,S1,5,1
22,0,S1,6,0
22,0,S1,7,1
22,0,S1,8,0
22,0,S1,9,1
22,0,S2,0,0
22,0,S2,1,0
22,0,S2,2,2
22,0,S2,3,1
22,0,S2,4,1
22,0,S2,5,2
22,0,S2,6,0
22,0,S2,7,3
22,0,S2,8,1
22,0,S2,9,1
23,0,S1,0,3
23,0,S1,1,2
23,0,S1,2,0
23,0,S1,3,1
23,0,S1,4,2
23,0,S1,5,1
23,0,S1,6,0
23,0,S1,7,1
23,0,S1,8,0
23,0,S1,9,1
23,0,S2,0,0
23,0,S2,1,0
23,0,S2,2,2
23,0,S2,3,2
23,0,S2,4,1
23,0,S2,5,2
23,0,S2,6,0
23,0,S2,7,3
23,0,S2,8,1
23,0,S2,9,1
24,0,S1,0,2
24,0,S1,1,3
24,0,S1,2,0
24,0,S1,3,1
24,0,S1,4,2
24,0,S1,5,1
24,0,S1,6,0
24,0,S1,7,1
24,0,S1,8,0
24,0,S1,9,1
24,0,S2,0,0
24,0,S2,1,0
24,0,S2,2,3
24,0,S2,3,2
24,0,S2,4,1
24,0,S2,5,2
24,0,S2,6,0
24,0,S2,7,3
24,0,S2,8,1
24,0,S2,9,1
25,0,S1,0,2
25,0,S1,1,3
25,0,S1,2,0
25,0,S1,3,1
25,0,S1,4,2
25,0,S1,5,1
25,0,S1,6,0
25,0,S1,7,1
25,0,S1,8,0
25,0,S1,9,1
25,0,S2,0,0
25,0,S2,1,0
25,0,S2,2,3
25,0,S2,3,2
25,0,S2,4,1
25,0,S2,5,2
25,0,S2,6,0
25,0,S2,7,3
25,0,S2,8,1
25,0,S2,9,1
26,0,S1,0,2
26,0,S1,1,3
26,0,S1,2,0
26,0,S1,3,1
26,0,S1,4,2
26,0,S1,5,1
26,0,S1,6,0
26,0,S1,7,1
26,0,S1,8,0
26,0,S1,9,1
26,0,S2,0,0
26,0,S2,1,0
26,0,S2,2,2
26,0,S2,3,2
26,0,S2,4,1
26,0,S2,5,2
26,0,S2,6,0
26,0,S2,7,3
26,0,S2,8,1
26,0,S2,9,1
27,0,S1,0,2
27,0,S1,1,3
27,0,S1,2,0
27,0,S1,3,2
27,0,S1,4,3
27,0,S1,5,1
27,0,S1,6,0
27,0,S1,7,1
27,0,S1,8,3
27,0,S1,9,1
27,0,S2,0,0
27,0,S2,1,0
27,0,S2,2,2
27,0,S2,3,2
27,0,S2,4,1
27,0,S2,5,2
27,0,S2,6,0
27,0,S2,7,3
27,0,S2,8,1
27,0,S2,9,1
28,0,S1,0,2
28,0,S1,1,3
28,0,S1,2,0
28,0,S1,3,2
28,0,S1,4,3
28,0,S1,5,1
28,0,S1,6,0
28,0,S1,7,1
28,0,S1,8,3
28,0,S1,9,1
28,0,S2,0,0
28,0,S2,1,0
28,0,S2,2,2
28,0,S2,3,3
28,0,S2,4,1
28,0,S2,5,2
28,0,S2,6,1
28,0,S2,7,3
28,0,S2,8,1
28,0,S2,9,1
29,0,S1,0,2
29,0,S1,1,4
29,0,S1,2,0
29,0,S1,3,2
29,0,S1,4,3
29,0,S1,5,1
29,0,S1,6,0
29,0,S1,7,1
29,0,S1,8,3
29,0,S1,9,1
29,0,S2,0,0
29,0,S2,1,0
29,0,S2,2,3
29,0,S2,3,3
29,0,S2,4,1
29,0,S2,5,2
29,0,S2,6,1
29,0,S2,7,2
29,0,S2,8,1
29,0,S2,9,1
30,0,S1,0,2
