Time,Seed,Demand,Alpha,Scenario,ComputationTime
0,0,demand_1x,1.0,S1,0.0713869000319391
0,0,demand_1x,0.7,S2,0.0616368999471887
1,0,demand_1x,1.0,S1,0.0862622999120503
1,0,demand_1x,0.7,S2,0.0918173999525606
2,0,demand_1x,1.0,S1,0.102876599994488
2,0,demand_1x,0.7,S2,0.1218375000171363
3,0,demand_1x,1.0,S1,0.1186168000567704
3,0,demand_1x,0.7,S2,0.1222173999994993
4,0,demand_1x,1.0,S1,0.1194669000105932
4,0,demand_1x,0.7,S2,0.1665679999860003
5,0,demand_1x,1.0,S1,0.1451816000044345
5,0,demand_1x,0.7,S2,0.1589692999841645
6,0,demand_1x,1.0,S1,0.1714112000772729
6,0,demand_1x,0.7,S2,0.2261943999910727
7,0,demand_1x,1.0,S1,0.2195308998925611
7,0,demand_1x,0.7,S2,0.2675980000058189
8,0,demand_1x,1.0,S1,0.3055000000167638
8,0,demand_1x,0.7,S2,0.3821759999264031
9,0,demand_1x,1.0,S1,0.323973499936983
9,0,demand_1x,0.7,S2,0.4302203999832272
10,0,demand_1x,1.0,S1,0.377656300086528
10,0,demand_1x,0.7,S2,0.5199606000678614
11,0,demand_1x,1.0,S1,0.5583754000253975
11,0,demand_1x,0.7,S2,0.6549705999204889
12,0,demand_1x,1.0,S1,0.631902200053446
12,0,demand_1x,0.7,S2,0.6467482000589371
13,0,demand_1x,1.0,S1,0.4958009000401944
13,0,demand_1x,0.7,S2,0.9190374000463636
14,0,demand_1x,1.0,S1,0.8024776999372989
14,0,demand_1x,0.7,S2,1.0025974999880418
15,0,demand_1x,1.0,S1,0.9367298999568447
15,0,demand_1x,0.7,S2,1.0092422999441624
16,0,demand_1x,1.0,S1,1.0066000999649989
16,0,demand_1x,0.7,S2,1.0352829999756068
17,0,demand_1x,1.0,S1,1.0184475000714883
17,0,demand_1x,0.7,S2,1.0372114999918267
18,0,demand_1x,1.0,S1,1.015171799925156
18,0,demand_1x,0.7,S2,1.0164467999711633
19,0,demand_1x,1.0,S1,1.0242482000030575
19,0,demand_1x,0.7,S2,1.0342909999890253
20,0,demand_1x,1.0,S1,1.0049844000022858
20,0,demand_1x,0.7,S2,1.01845350000076
21,0,demand_1x,1.0,S1,1.014528700034134
21,0,demand_1x,0.7,S2,1.016133000026457
22,0,demand_1x,1.0,S1,1.0079424999421462
22,0,demand_1x,0.7,S2,1.01596150000114
23,0,demand_1x,1.0,S1,1.0574526999844238
23,0,demand_1x,0.7,S2,1.01250179996714
24,0,demand_1x,1.0,S1,1.0064790999749675
24,0,demand_1x,0.7,S2,1.0180557999992743
25,0,demand_1x,1.0,S1,1.0219915999332445
25,0,demand_1x,0.7,S2,1.0365894000278786
26,0,demand_1x,1.0,S1,1.0275402000406757
26,0,demand_1x,0.7,S2,1.008486400009133
27,0,demand_1x,1.0,S1,1.014750099973753
27,0,demand_1x,0.7,S2,1.0055450999643654
28,0,demand_1x,1.0,S1,1.00771439995151
28,0,demand_1x,0.7,S2,1.0629363000625744
29,0,demand_1x,1.0,S1,1.0206447000382468
29,0,demand_1x,0.7,S2,1.017257000086829
30,0,demand_1x,1.0,S1,1.0105680000269786
30,0,demand_1x,0.7,S2,1.013435000088066
31,0,demand_1x,1.0,S1,1.031193400034681
31,0,demand_1x,0.7,S2,1.0241782000521198
32,0,demand_1x,1.0,S1,1.0093110000016168
32,0,demand_1x,0.7,S2,1.0353628000011668
33,0,demand_1x,1.0,S1,1.0403277999721467
33,0,demand_1x,0.7,S2,1.0235467000165954
34,0,demand_1x,1.0,S1,1.018611800041981
34,0,demand_1x,0.7,S2,1.0106825000839308
35,0,demand_1x,1.0,S1,1.0141950000543147
35,0,demand_1x,0.7,S2,1.0189178999280557
36,0,demand_1x,1.0,S1,1.0064055999973789
36,0,demand_1x,0.7,S2,1.0227350000059232
37,0,demand_1x,1.0,S1,1.0042573999380693
37,0,demand_1x,0.7,S2,1.0093789999373255
38,0,demand_1x,1.0,S1,1.020801000064239
38,0,demand_1x,0.7,S2,1.013770900084637
39,0,demand_1x,1.0,S1,1.0332882000366226
39,0,demand_1x,0.7,S2,1.0157671000342816
40,0,demand_1x,1.0,S1,1.028361800010316
40,0,demand_1x,0.7,S2,1.015778800006956
41,0,demand_1x,1.0,S1,1.010351000004448
41,0,demand_1x,0.7,S2,1.004015199956484
42,0,demand_1x,1.0,S1,1.012829100014642
42,0,demand_1x,0.7,S2,1.023207399994135
43,0,demand_1x,1.0,S1,1.023164999904111
43,0,demand_1x,0.7,S2,1.021292999968864
44,0,demand_1x,1.0,S1,1.0124001000076532
44,0,demand_1x,0.7,S2,1.0325750999618322
45,0,demand_1x,1.0,S1,1.017458299989812
45,0,demand_1x,0.7,S2,1.0377044999040663
46,0,demand_1x,1.0,S1,1.0120269999606537
46,0,demand_1x,0.7,S2,1.0096570999594403
47,0,demand_1x,1.0,S1,1.020661599934101
47,0,demand_1x,0.7,S2,1.0194466999964789
48,0,demand_1x,1.0,S1,1.054131199955009
48,0,demand_1x,0.7,S2,1.0325404999312011
49,0,demand_1x,1.0,S1,1.007740500033833
49,0,demand_1x,0.7,S2,1.0191615999210626
50,0,demand_1x,1.0,S1,1.0246711000800133
50,0,demand_1x,0.7,S2,1.0096649000188336
51,0,demand_1x,1.0,S1,1.0148627000162378
51,0,demand_1x,0.7,S2,1.0336221000179648
52,0,demand_1x,1.0,S1,1.0083593999734148
52,0,demand_1x,0.7,S2,1.0293294000439346
53,0,demand_1x,1.0,S1,1.037689300021157
53,0,demand_1x,0.7,S2,1.0227390000363812
54,0,demand_1x,1.0,S1,1.0223622999619693
54,0,demand_1x,0.7,S2,1.0116139000747353
55,0,demand_1x,1.0,S1,1.0190780999837443
55,0,demand_1x,0.7,S2,1.0331697999499738
56,0,demand_1x,1.0,S1,1.0129304999718445
56,0,demand_1x,0.7,S2,1.015880599967204
57,0,demand_1x,1.0,S1,1.0147023999597875
57,0,demand_1x,0.7,S2,1.0231107999570668
58,0,demand_1x,1.0,S1,1.0805961000733078
58,0,demand_1x,0.7,S2,1.0081083999248222
59,0,demand_1x,1.0,S1,1.0146448999876156
59,0,demand_1x,0.7,S2,1.0265930000459775
60,0,demand_1x,1.0,S1,1.0731899000238627
60,0,demand_1x,0.7,S2,1.046221400029026
61,0,demand_1x,1.0,S1,1.008384000044316
61,0,demand_1x,0.7,S2,1.0769607999827713
62,0,demand_1x,1.0,S1,1.058029500069097
62,0,demand_1x,0.7,S2,1.0122825999278575
63,0,demand_1x,1.0,S1,1.027250500046648
63,0,demand_1x,0.7,S2,1.016917600063607
64,0,demand_1x,1.0,S1,1.050284400000237
64,0,demand_1x,0.7,S2,1.0316240000538528
65,0,demand_1x,1.0,S1,1.059015600010753
65,0,demand_1x,0.7,S2,1.0813675000099463
66,0,demand_1x,1.0,S1,1.095735099981539
66,0,demand_1x,0.7,S2,1.0323969000019133
67,0,demand_1x,1.0,S1,1.1743008999619633
67,0,demand_1x,0.7,S2,1.014089599950239
68,0,demand_1x,1.0,S1,1.0371150999562817
68,0,demand_1x,0.7,S2,1.0237050999421626
69,0,demand_1x,1.0,S1,1.0589408000232652
69,0,demand_1x,0.7,S2,1.0437229999806732
70,0,demand_1x,1.0,S1,1.0984669000608849
70,0,demand_1x,0.7,S2,1.0557285000104455
71,0,demand_1x,1.0,S1,1.05620419990737
71,0,demand_1x,0.7,S2,1.0438215000322089
72,0,demand_1x,1.0,S1,1.1188597000436855
72,0,demand_1x,0.7,S2,1.0504674999974668
73,0,demand_1x,1.0,S1,1.1887817999813706
73,0,demand_1x,0.7,S2,1.252840300090611
74,0,demand_1x,1.0,S1,1.013618899974972
74,0,demand_1x,0.7,S2,1.0345468999585137
75,0,demand_1x,1.0,S1,1.0599195000249892
75,0,demand_1x,0.7,S2,1.0192561000585556
76,0,demand_1x,1.0,S1,1.010703400010243
76,0,demand_1x,0.7,S2,1.0487556000007316
77,0,demand_1x,1.0,S1,1.0215894000139087
77,0,demand_1x,0.7,S2,1.059778399998322
78,0,demand_1x,1.0,S1,1.3819865999976173
78,0,demand_1x,0.7,S2,1.0133597000967711
79,0,demand_1x,1.0,S1,1.335277699981816
79,0,demand_1x,0.7,S2,1.0787905999459326
80,0,demand_1x,1.0,S1,1.1254321000305936
80,0,demand_1x,0.7,S2,1.0234260999131948
81,0,demand_1x,1.0,S1,1.0584991000359878
