Time,S1_SumDelay,S1_TailSumDelay,S2_SumDelay,S2_TailSumDelay,S1_Throughput,S1_Queue,S2_Throughput,S2_Queue,Seed
0,0.0,0.0,0.0,0.0,0,0,0,0,0
1,0.0,0.0,0.0,0.0,0,1,0,1,0
2,0.0,0.0,0.0,0.0,0,1,0,1,0
3,0.0,0.0,0.0,0.0,0,2,0,2,0
4,0.0,0.0,0.0,0.0,0,2,0,2,0
5,0.0,0.0,0.0,0.0,0,3,0,3,0
6,0.0,0.0,0.0,0.0,0,3,0,3,0
7,0.0,0.0,0.0,0.0,0,4,0,4,0
8,0.0,0.0,0.0,0.0,0,4,0,4,0
9,0.0,0.0,0.0,0.0,0,5,0,5,0
10,0.0,0.0,0.0,0.0,0,5,0,5,0
11,0.0,0.0,0.0,0.0,0,6,0,6,0
12,0.0,0.0,0.0,0.0,0,6,0,6,0
13,0.0,0.0,0.0,0.0,0,6,0,6,0
14,0.0,0.0,0.0,0.0,0,6,0,6,0
15,0.0,0.0,0.0,0.0,0,6,0,6,0
16,0.0,0.0,0.0,0.0,0,6,0,6,0
17,0.0,0.0,0.0,0.0,0,5,0,5,0
18,0.0,0.0,0.0,0.0,0,5,0,5,0
19,0.0,0.0,0.0,0.0,0,5,0,6,0
20,2.5217343123387046,2.5217343123387046,2.5217343123387046,2.5217343123387046,1,5,1,6,0
21,2.5217343123387046,2.5217343123387046,2.5217343123387046,2.5217343123387046,1,5,1,6,0
22,2.5217343123387046,2.5217343123387046,2.5217343123387046,2.5217343123387046,1,5,1,6,0
23,2.5217343123387046,2.5217343123387046,2.5217343123387046,2.5217343123387046,1,3,1,4,0
24,3.058351440945021,2.5217343123387046,3.058351440945021,2.5217343123387046,2,3,2,4,0
25,3.058351440945021,2.5217343123387046,3.058351440945021,2.5217343123387046,2,4,2,5,0
26,3.058351440945021,2.5217343123387046,3.058351440945021,2.5217343123387046,2,4,2,5,0
27,3.058351440945021,2.5217343123387046,3.058351440945021,2.5217343123387046,2,5,2,6,0
28,6.928649824521386,2.589728864482506,5.648080305427527,2.589728864482506,4,5,3,4,0
29,6.928649824521386,2.589728864482506,5.648080305427527,2.589728864482506,4,6,3,5,0
30,6.928649824521386,2.589728864482506,6.504749406330927,2.589728864482506,4,6,4,5,0
31,6.928649824521386,2.589728864482506,6.504749406330927,2.589728864482506,4,7,4,5,0
32,6.9152669531276985,2.589728864482506,6.491366534937239,2.589728864482506,5,7,5,5,0
33,6.9152669531276985,2.589728864482506,14.898370114076446,8.407003579139207,5,7,6,5,0
34,6.9152669531276985,2.589728864482506,14.898370114076446,8.407003579139207,5,6,6,3,0
35,6.9152669531276985,2.589728864482506,14.898370114076446,8.407003579139207,5,6,6,3,0
36,6.9152669531276985,2.589728864482506,14.898370114076446,8.407003579139207,5,5,6,3,0
37,6.9152669531276985,2.589728864482506,14.898370114076446,8.407003579139207,5,5,6,3,0
38,13.75490343389085,6.839636480763151,14.898370114076446,8.407003579139207,6,4,6,3,0
39,13.75490343389085,6.839636480763151,20.467004835157383,13.975638300220147,6,5,7,4,0
40,14.683143719463576,9.429365345245657,21.395245120730117,13.975638300220147,7,5,8,4,0
41,14.683143719463576,9.429365345245657,21.395245120730117,13.975638300220147,7,4,8,4,0
42,23.54558084751199,15.702073608811563,21.395245120730117,13.975638300220147,8,4,8,4,0
43,32.76822348827315,18.08507976880957,21.395245120730117,13.975638300220147,9,5,8,5,0
44,32.76822348827315,18.08507976880957,21.395245120730117,13.975638300220147,9,5,8,5,0
45,36.51694027627045,24.92471624957272,25.143961908727416,13.975638300220147,10,6,9,5,0
46,36.51694027627045,24.92471624957272,27.13567189586308,17.72435508821745,10,6,10,5,0
47,36.51694027627045,24.92471624957272,27.13567189586308,17.72435508821745,10,7,10,6,0
48,36.51694027627045,24.92471624957272,41.50932620908223,28.349292613439296,10,7,11,6,0
49,36.51694027627045,24.92471624957272,41.50932620908223,28.349292613439296,10,8,11,7,0
50,40.735120746054704,24.92471624957272,48.08956505627512,28.349292613439296,12,8,13,7,0
51,40.735120746054704,24.92471624957272,48.65515338136623,32.41642178913368,12,9,14,8,0
52,41.368013125487614,24.92471624957272,50.702690824611686,32.41642178913368,13,9,15,8,0
53,56.00916992158218,34.47826846648579,50.702690824611686,32.41642178913368,15,10,15,9,0
54,56.00916992158218,34.47826846648579,50.702690824611686,32.41642178913368,15,8,15,9,0
55,56.00916992158218,34.47826846648579,50.702690824611686,32.41642178913368,15,9,15,6,0
56,56.00916992158218,34.47826846648579,50.702690824611686,32.41642178913368,15,8,15,5,0
57,56.00916992158218,34.47826846648579,50.702690824611686,32.41642178913368,15,6,15,5,0
58,56.00916992158218,34.47826846648579,50.702690824611686,32.41642178913368,15,3,15,4,0
59,56.00916992158218,34.47826846648579,64.43385177017309,42.0804535590007,15,4,16,5,0
60,56.00916992158218,34.47826846648579,64.43385177017309,42.0804535590007,15,4,16,5,0
61,56.00916992158218,34.47826846648579,64.43385177017309,42.0804535590007,15,4,16,5,0
62,56.00916992158218,34.47826846648579,69.72790785138017,47.37450964020779,15,4,17,5,0
63,74.53408914570043,46.16355120984088,69.72790785138017,47.37450964020779,16,5,17,6,0
64,85.2787583491062,56.908220413246646,96.46387041710408,63.24778140364367,17,4,19,6,0
65,93.2697135770446,56.908220413246646,96.46387041710408,63.24778140364367,18,4,19,7,0
66,93.2697135770446,56.908220413246646,96.46387041710408,63.24778140364367,18,3,19,5,0
67,109.99227836888352,64.76834807703716,96.46387041710408,63.24778140364367,19,4,19,6,0
68,119.55075114438988,74.32682085254353,107.09547532465427,73.87938631119384,20,4,20,6,0
69,132.82702903907867,78.38045610647114,121.90467537397754,80.2815827813779,21,5,21,6,0
70,132.82702903907867,78.38045610647114,130.46240739934166,80.2815827813779,21,4,22,6,0
71,133.92069856010147,78.38045610647114,130.46240739934166,80.2815827813779,22,5,22,6,0
72,144.8666675442828,79.77287287373943,131.47151586886633,80.2815827813779,23,4,23,5,0
73,144.8666675442828,79.77287287373943,131.47151586886633,80.2815827813779,23,4,23,4,0
74,144.8666675442828,79.77287287373943,131.47151586886633,80.2815827813779,23,4,23,4,0
75,144.8666675442828,79.77287287373943,131.47151586886633,80.2815827813779,23,5,23,5,0
76,152.2272133756511,89.32642509065248,131.47151586886633,80.2815827813779,24,4,23,4,0
77,152.2272133756511,89.32642509065248,141.69449128466405,90.50455819717564,24,5,24,5,0
